Date,Time,ASIN,Title,Seller,Price,MOQ,BuyBox,Link
15-Jun-2026,09:16:27,B0DDGRFJ5W,"Pattex Super Glue Liquid Tube, All Purpose Clear Adhesive with Anti-Clog Cap, Instant Grip Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 2)",Amazon.ae,12.83,1,YES,https://www.amazon.ae/dp/B0DDGRFJ5W
15-Jun-2026,09:16:27,B0DDGRFJ5W,"Pattex Super Glue Liquid Tube, All Purpose Clear Adhesive with Anti-Clog Cap, Instant Grip Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 2)",ADD 2 CART_UAE,27.99,1,NO,https://www.amazon.ae/dp/B0DDGRFJ5W
15-Jun-2026,09:16:27,B0DDGWXNHC,"Pattex Super Glue Liquid Tube, All Purpose Clear Adhesive with Anti-Clog Cap, Instant Grip Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",Amazon.ae,25..98,1,YES,https://www.amazon.ae/dp/B0DDGWXNHC
15-Jun-2026,09:16:27,B0BG2MZ1ZX,"Pattex Superglue Liquide Control, Clear Glue for Various Materials, with Non-Drip Formula Vertical Applications, Precise Nozzle, 1x3g",Amazon.ae,11.79,1,YES,https://www.amazon.ae/dp/B0BG2MZ1ZX
15-Jun-2026,09:16:27,B0BG2MZ1ZX,"Pattex Superglue Liquide Control, Clear Glue for Various Materials, with Non-Drip Formula Vertical Applications, Precise Nozzle, 1x3g",ADD 2 CART_UAE,25.49,1,NO,https://www.amazon.ae/dp/B0BG2MZ1ZX
15-Jun-2026,09:16:27,B0BG2MZ1ZX,"Pattex Superglue Liquide Control, Clear Glue for Various Materials, with Non-Drip Formula Vertical Applications, Precise Nozzle, 1x3g",SMART-FZC,35.00,1,NO,https://www.amazon.ae/dp/B0BG2MZ1ZX
15-Jun-2026,09:16:27,B0BG2MZ1ZX,"Pattex Superglue Liquide Control, Clear Glue for Various Materials, with Non-Drip Formula Vertical Applications, Precise Nozzle, 1x3g",Westline Store,34.00,1,NO,https://www.amazon.ae/dp/B0BG2MZ1ZX
15-Jun-2026,09:16:27,B0DDGXBJW1,"Pattex Super Glue Liquid Control, All Purpose Clear Adhesive with Precise Nozzle, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 2)",Amazon.ae,18.56,1,YES,https://www.amazon.ae/dp/B0DDGXBJW1
15-Jun-2026,09:16:27,B0DDGXBJW1,"Pattex Super Glue Liquid Control, All Purpose Clear Adhesive with Precise Nozzle, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 2)",ADD 2 CART_UAE,33.99,1,NO,https://www.amazon.ae/dp/B0DDGXBJW1
15-Jun-2026,09:16:27,B0DDGS87JD,"Pattex Super Glue Liquid Control, All Purpose Clear Adhesive with Precise Nozzle, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",Amazon.ae,26.30,1,YES,https://www.amazon.ae/dp/B0DDGS87JD
15-Jun-2026,09:16:27,B0DDGS87JD,"Pattex Super Glue Liquid Control, All Purpose Clear Adhesive with Precise Nozzle, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",MySyara Shop,28.00,1,NO,https://www.amazon.ae/dp/B0DDGS87JD
15-Jun-2026,09:16:27,B0DDGS87JD,"Pattex Super Glue Liquid Control, All Purpose Clear Adhesive with Precise Nozzle, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",ADD 2 CART_UAE,41.49,1,NO,https://www.amazon.ae/dp/B0DDGS87JD
15-Jun-2026,09:16:27,B09KCHGRZF,"Pattex Super Glue Power Gel, Strong All Purpose Adhesive For Flexible Materials, Easy To Use Clear Glue, 1X3G",Amazon.ae,8.99,1,YES,https://www.amazon.ae/dp/B09KCHGRZF
15-Jun-2026,09:16:27,B09KCHGRZF,"Pattex Super Glue Power Gel, Strong All Purpose Adhesive For Flexible Materials, Easy To Use Clear Glue, 1X3G",ADD 2 CART_UAE,24.79,1,NO,https://www.amazon.ae/dp/B09KCHGRZF
15-Jun-2026,09:16:27,B09KCHGRZF,"Pattex Super Glue Power Gel, Strong All Purpose Adhesive For Flexible Materials, Easy To Use Clear Glue, 1X3G",Westline Store,25.10,1,NO,https://www.amazon.ae/dp/B09KCHGRZF
15-Jun-2026,09:16:27,B0DDGY7RWR,"Pattex Super Glue Power Gel Tube, All Purpose Adhesive For Flexible Materials, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",ADD 2 CART_UAE,20.89,1,YES,https://www.amazon.ae/dp/B0DDGY7RWR
15-Jun-2026,09:16:27,B0DDGY7RWR,"Pattex Super Glue Power Gel Tube, All Purpose Adhesive For Flexible Materials, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",SMART-FZC,21.52,1,NO,https://www.amazon.ae/dp/B0DDGY7RWR
15-Jun-2026,09:16:27,B0DDGY7RWR,"Pattex Super Glue Power Gel Tube, All Purpose Adhesive For Flexible Materials, Instant Invisible Repair, Compatible with Metal, Ceramic, Rubber, Leather & Wood, Dishwasher Safe, 3g (Pack of 3)",Amazon.ae,21.52,1,NO,https://www.amazon.ae/dp/B0DDGY7RWR
15-Jun-2026,09:16:27,B09KCGPSPG,"Pattex Super Glue Power Gel Control | All Purpose Clear Adhesive For Flexible Materials with Precise Nozzle | Compatible with Metal, Ceramic, Rubber, Leather & Wood | Dishwasher Safe | 3g (Pack of 1)",Amazon.ae,15.00,1,YES,https://www.amazon.ae/dp/B09KCGPSPG
15-Jun-2026,09:16:27,B09KCGPSPG,"Pattex Super Glue Power Gel Control | All Purpose Clear Adhesive For Flexible Materials with Precise Nozzle | Compatible with Metal, Ceramic, Rubber, Leather & Wood | Dishwasher Safe | 3g (Pack of 1)",ADD 2 CART_UAE,24.99,1,NO,https://www.amazon.ae/dp/B09KCGPSPG
15-Jun-2026,09:16:27,B09KCGPSPG,"Pattex Super Glue Power Gel Control | All Purpose Clear Adhesive For Flexible Materials with Precise Nozzle | Compatible with Metal, Ceramic, Rubber, Leather & Wood | Dishwasher Safe | 3g (Pack of 1)",SMART-FZC,35.00,1,NO,https://www.amazon.ae/dp/B09KCGPSPG
15-Jun-2026,09:16:27,B0DDGV3T5C,"Pattex Super Glue Power Gel Control | All Purpose Clear Adhesive For Flexible Materials with Precise Nozzle | Compatible with Metal, Ceramic, Rubber, Leather & Wood | Dishwasher Safe | 3g (Pack of 3)",Amazon.ae,29.64,1,YES,https://www.amazon.ae/dp/B0DDGV3T5C
15-Jun-2026,09:16:27,B0DDGV3T5C,"Pattex Super Glue Power Gel Control | All Purpose Clear Adhesive For Flexible Materials with Precise Nozzle | Compatible with Metal, Ceramic, Rubber, Leather & Wood | Dishwasher Safe | 3g (Pack of 3)",ADD 2 CART_UAE,54.99,1,NO,https://www.amazon.ae/dp/B0DDGV3T5C
